MS_NO,DIVISION_GROUP,DIVISION_NAME,DEPT_GROUP_NAME,DEPARTMENT_NAME,SUBDEPARTMENT_NAME,CLASS_NAME,SUBCLASS_NAME,ART_SV_NAME,ART_SV_NAME_ENG,ART_NO,ART_SV_NO,BARCODE,BRAND,MODEL_NO,EXTRA_INFO,DC_SUPPL_NO,DC_SUPPL_NAME
470200501,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047020 CLEANER,04702005 MULTI.PURP.CLEA,0470200501 MULTI-PURPOSE LIQUID,แฟมิลี่การ์ดสเปรย์ซีตรัส280มล,FAMILYGUARDSPRAYCITRUS280ML,102993211,0,8850175007494,FAMILY GUARD,NO_MODEL,DMD200325,9110142,9110142 : BPINDC-XDOCK(42)
470200501,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047020 CLEANER,04702005 MULTI.PURP.CLEA,0470200501 MULTI-PURPOSE LIQUID,FMG สเปรย์มัลติ เฟรชลินิน500มล,FMG SURFACE FRESH LINEN  500ML,103030034,0,8850175007388,FAMILY GUARD,NO_MODEL,NMD200626,9110142,9110142 : BPINDC-XDOCK(42)
470200401,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047020 CLEANER,04702004 SPECIAL.PURP.CLEA,0470200401 GLASS/WINDOW CLEANER,มิสเตอร์มัสเซิลเช็ดกระจก2040มล,MM GLASS REFILL 2040ML,100578926,0,8850175007050,WINDEX,ชนิดเติม 2040,NMD140726,9110142,9110142 : BPINDC-XDOCK(42)
470200401,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047020 CLEANER,04702004 SPECIAL.PURP.CLEA,0470200401 GLASS/WINDOW CLEANER,มิสเตอร์มัสเซิลเช็ดกระจก520มล,MR MUSCLE GLASS 520ML,100578924,0,8850175007012,WINDEX,หัวฉีด,NMD200626,9110142,9110142 : BPINDC-XDOCK(42)
470200501,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047020 CLEANER,04702005 MULTI.PURP.CLEA,0470200501 MULTI-PURPOSE LIQUID,มิสเตอร์มัสเซิลสเปรย์3IN1ทำความสะอาด500มล.,มิสเตอร์มัสเซิลสเปรย์3IN1ทำความสะอาด500มล.,101365563,0,8850175005414,MR. MUSCLE,500ML.,NMD200626,9110142,9110142 : BPINDC-XDOCK(42)
470200601,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047020 CLEANER,04702006 KITCHEN.CLEA,0470200601 KITCHEN CLEANER,มิสเตอร์มัสเซิลทำความสะอาดครัว400มล.เติม,Mr Muscle Kitchen 400ml,101365443,0,8850175005322,MR. MUSCLE,400ML.,NMD200626,9110142,9110142 : BPINDC-XDOCK(42)
470200601,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047020 CLEANER,04702006 KITCHEN.CLEA,0470200601 KITCHEN CLEANER,มัสเซิล สเปรย์ห้องครัว 500 มล.,MR.MUSCEL KITCHEN CLEAN 500ML.,100953463,0,8850175005148,MR. MUSCLE,500ML.,NMD180826,9110142,9110142 : BPINDC-XDOCK(42)
470200201,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047020 CLEANER,04702002 FLOOR CARE,0470200201 ALL PURPOSE,น้ำยาถูพืนมัสเซิลลาเวน 800มลx2,MM LVD TWIN 2X800ML,102284335,0,8850175004981,MR. MUSCLE,FLOOR CLEANER,DMD200726,9110142,9110142 : BPINDC-XDOCK(42)
470200201,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047020 CLEANER,04702002 FLOOR CARE,0470200201 ALL PURPOSE,น้ำยาถูพืนมัสเซิลฟลอรัล800มลx2,MMFLR PF TWIN 2X800ML,101054011,0,8850175004912,MR. MUSCLE,800ML.P.2,NMD010526,9110142,9110142 : BPINDC-XDOCK(42)
470200201,02 Food,04 DRY FOOD,0470 HOUSEHOLD,0470 HOUSEHOLD,047020 CLEANER,04702002 FLOOR CARE,0470200201 ALL PURPOSE,WBPมัสเซิลน้ำยาถูพื้ฟลอรัล5000,WBP MR.MUSCLE FLOOR 5000 ML,100578922,0,8850175004776,MR. MUSCLE,MMFlrPFFL5000ML,NMD250626,9110142,9110142 : BPINDC-XDOCK(42)
