DIVISION_NAME,DEPT_GROUP_NAME,DEPARTMENT_NAME,SUBDEPARTMENT_NAME,CLASS_NAME,SUBCLASS_NAME,ART_SV_NAME
04 DRY FOOD,0450 LIQUOR,0450 LIQUOR,045040 BEER,04504002 IMPORT,0450400201 IMPORT,เบียร์อาซาฮีแคน330CC.
02 HOME LINE,0230 RECREATION,0230 RECREATION,023050 LUGGAGE,02305013 SCHOOL BAG,0230501302 SCHOOL BACKPACK ( LICENSE),กระเป๋าเป้ PONY 15นิ้ว
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200102 ROAST/GROUND,โซลิโต้ดริพอราบิกาคัวกลาง10ก8ซ
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102003 TEA,0410200303 HERBAL TEA/ASIAN,โซลิโต้ชานมเย็นไทย 30กX20ซอง
04 DRY FOOD,0410 SWEETED GROCE.1,0410 SWEETED GROCE.1,041020 HOT DRINK,04102001 COFFEE,0410200102 ROAST/GROUND,โซลิโต้ออแกนิคคั่วเข้ม200ก
03 SOFT LINE,0340 BABY ACCESSORIES,0340 BABY ACCESSORIES,034011 BABY ACCESSORIES,03401111 DIAPERS,0340111102 SALOO FABRIC,ผ้าอ้อมผ้าสำลี RS 27X27 แพ๋ต 12
03 SOFT LINE,0340 BABY ACCESSORIES,0340 BABY ACCESSORIES,034011 BABY ACCESSORIES,03401102 BATH ACCESSORIES,0340110208 SPONGE,นูเบบ ฟองน้ำแอนตี้แบคทีเรีย
03 SOFT LINE,0340 BABY ACCESSORIES,0340 BABY ACCESSORIES,034011 BABY ACCESSORIES,03401105 MOTHER CARE,0340110505 NOSE SUCT SYRIN,นูเบบ ที่ดูดน้ำมูกซิลิโคน
03 SOFT LINE,0340 BABY ACCESSORIES,0340 BABY ACCESSORIES,034011 BABY ACCESSORIES,03401102 BATH ACCESSORIES,0340110215 SAFETY RUBBER,นูเบบ ผ้าตาข่ายครอบพัดลม
03 SOFT LINE,0340 BABY ACCESSORIES,0340 BABY ACCESSORIES,034011 BABY ACCESSORIES,03401109 BRUSH & BOTTLE STERILIZATION,0340110905 MILK BOTTLE BRUSH,แปรงขนใสเซฟดีหัวฟองน้ำ 658
03 SOFT LINE,0340 BABY ACCESSORIES,0340 BABY ACCESSORIES,034011 BABY ACCESSORIES,03401101 BEDDING,0340110112 MOSQUITO NET,นูเบบ มุ้งครอบเด็กผ้าสี SIZE L
03 SOFT LINE,0340 BABY ACCESSORIES,0340 BABY ACCESSORIES,034011 BABY ACCESSORIES,03401102 BATH ACCESSORIES,0340110212 HAIR BRUSH,นูเบบ ชุดหวีแปรงเด็ก
06 PHARMACY,0610 PRESCRIPTION,0610 PRESCRIPTION,061020 ANTIBIOTIC,06102003 ANTIHELMINTICS AND OTHER,0610200301 ANTIHELMINTICS,P_อัลบีเมด 200 มก. แผง 6 เม็ด
06 PHARMACY,0610 PRESCRIPTION,0610 PRESCRIPTION,061080 RESPIRATORIES SYSTEM,06108001 ANTIASTHMATIC,0610800102 CORTICOSTEROIDS,P_บูโซเนส 64 มคก/โดส ขวด 6 มล.
06 PHARMACY,0610 PRESCRIPTION,0610 PRESCRIPTION,061091 DERMATOLOGICALS,06109101 HAIR,0610910101 TOPICAL ANTI-HAIR LOSS SOLUTION,P_รีเจน แฮร์ โซลูชั่น 5%70มล.
06 PHARMACY,0620 OVER THE COUNTER,0620 OVER THE COUNTER,062010 ANALGESIC,06201002 PAIN KILLERS AND ANTIPYRETICS,0620100201 LC ANALGESICS & PYRETICS,P_บาคามอล500MG 100 เม็ด
